"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Baker Cable Knit Cotton Flare Miniskirt","Women","Clothing","Skirts","6603642","Alice + Olivia",330.00,330.00,0.0,0,"135","2022-03-13 08:11:45"
"Jorden Houndstooth Skirt","Women","Clothing","Skirts","6617185","4th & Reckless",33.50,50.00,0.0,0,"001","2022-03-13 08:11:45"
"Belted Button Front Linen Blend Skirt","Women","Clothing","Skirts","6618954","Vince",375.00,375.00,0.0,0,"101","2022-03-13 08:11:45"
"Dimenia Ruffle Denim Miniskirt","Women","Clothing","Skirts","6624801","Isabel Marant",530.00,530.00,0.0,0,"530","2022-03-13 08:11:45"
"Emilia Floral Side Slit Skirt","Women","Clothing","Skirts","6628222","AFRM",78.00,78.00,0.0,0,"001","2022-03-13 08:11:45"
"Sacramini Ribbed Jersey Miniskirt","Women","Clothing","Skirts","6638945","Rick Owens",485.00,485.00,0.0,0,"001","2022-03-13 08:11:45"
"Esta Maxi Skirt","Women","Clothing","Skirts","6651425","MISA Los Angeles",365.00,365.00,0.0,0,"418","2022-03-13 08:11:45"
"Tiered Lace Handkerchief Hem Skirt","Women","Clothing","Skirts","6678403","Ted Baker London",225.00,225.00,0.0,0,"681","2022-03-13 08:11:45"
"Crepe Pleated Midi Skirt","Women","Clothing","Skirts","6702403","Proenza Schouler White Label",395.00,395.00,0.0,0,"847","2022-03-13 08:11:45"
"Drive You Crazy Miniskirt","Women","Clothing","Skirts","6704779","BB Dakota by Steve Madden",79.00,79.00,0.0,0,"650","2022-03-13 08:11:45"
"Amaya Pencil Skirt","Women","Clothing","Skirts","6761680","sandro",295.00,295.00,0.0,0,"404","2022-03-13 08:11:45"
"Jia Faux Leather Tiered Skirt","Women","Clothing","Skirts","6761737","Alice + Olivia",295.00,295.00,0.0,0,"001","2022-03-13 08:11:45"
"Jinova Cashmere Skirt","Women","Clothing","Skirts","6763154","maje",295.00,295.00,0.0,0,"333","2022-03-13 08:11:45"
"Stretch Cotton Miniskirt","Women","Clothing","Skirts","6802664","Max Mara",565.00,565.00,0.0,0,"230","2022-03-13 08:11:45"
