"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Men's Junk Food Black/Gold Pittsburgh Steelers Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6782749","Junk Food",61.99,61.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Red St. Louis Cardinals Ticket Light-Up Ugly Sweater","Men","Clothing","Sweaters","6782757","FOCO",89.99,89.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's Junk Food Royal/Red Buffalo Bills Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6782783","Junk Food",61.99,61.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's Junk Food Black/Gray Philadelphia Eagles Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6782834","Junk Food",61.99,61.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Navy New York Yankees Ticket Light-Up Ugly Sweater","Men","Clothing","Sweaters","6782948","FOCO",89.99,89.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's FOCO Red Atlanta Falcons Pocket Pullover Sweater","Men","Clothing","Sweaters","6782976","FOCO",64.99,64.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's FOCO Royal New York Giants Pocket Pullover Sweater","Men","Clothing","Sweaters","6782978","FOCO",64.99,64.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's Junk Food Aqua/Orange Miami Dolphins Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6783193","Junk Food",61.99,61.99,0.0,0,"440","2022-03-13 08:11:45"
"Men's Junk Food Green/Gold Green Bay Packers Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6783258","Junk Food",61.99,61.99,0.0,0,"300","2022-03-13 08:11:45"
"Men's FOCO Navy Dallas Cowboys Colorblend Pullover Sweater","Men","Clothing","Sweaters","6783478","FOCO",49.99,49.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Junk Food Red/Orange Tampa Bay Buccaneers Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6783621","Junk Food",61.99,61.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's Junk Food Royal/Red New England Patriots Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6783696","Junk Food",61.99,61.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's Junk Food College Navy/Neon Green Seattle Seahawks Color Block Pullover Sweatshirt","Men","Clothing","Sweaters","6783785","Junk Food",61.99,61.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's Nike Red Team USA Paralympic Performance Pullover Hoodie","Men","Clothing","Sweaters","6785150","Nike",74.99,74.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's Fanatics Branded Navy Chicago Bears Game Time Arch Pullover Sweatshirt","Men","Clothing","Sweaters","6794362","FANATICS",59.99,59.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Nike Navy Team USA Paralympic Performance Pullover Hoodie","Men","Clothing","Sweaters","6794536","Nike",74.99,74.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's FOCO White Tampa Bay Buccaneers Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6798407","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's Fanatics Branded Royal New York Giants Game Time Arch Pullover Sweatshirt","Men","Clothing","Sweaters","6801268","FANATICS",59.99,59.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's Fanatics Branded Red Tampa Bay Buccaneers Game Time Arch Pullover Sweatshirt","Men","Clothing","Sweaters","6801388","FANATICS",59.99,59.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's FOCO White New York Giants Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6804864","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO White Miami Dolphins Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6822180","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's Colosseum Black UCF Knights OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6856783","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Dunbrooke Navy/Gray Tennessee Titans Apprentice Full-Zip Hoodie","Men","Clothing","Sweaters","6856905","DUNBROOKE",89.99,89.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Fanatics Branded Kawhi Leonard Black LA Clippers Player Name & Number Full-Zip Hoodie Jacket","Men","Clothing","Sweaters","6856960","FANATICS",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Levelwear Black Los Angeles Dodgers Recruit Short Sleeve Full-Zip Hoodie Jacket","Men","Clothing","Sweaters","6857005","LEVELWEAR",79.99,79.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black ECU Pirates OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857056","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Levelwear Black St. Louis Cardinals Recruit Short Sleeve Full-Zip Hoodie Jacket","Men","Clothing","Sweaters","6857072","LEVELWEAR",79.99,79.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Charcoal Colorado State Rams Arch & Logo 3.0 Full-Zip Hoodie","Men","Clothing","Sweaters","6857076","COLOSSEUM",44.99,44.99,0.0,0,"010","2022-03-13 08:11:45"
"Men's Colosseum Black Oregon State Beavers OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857134","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Texas Tech Red Raiders OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857142","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Levelwear Black Chicago Cubs Recruit Short Sleeve Full-Zip Hoodie Jacket","Men","Clothing","Sweaters","6857144","LEVELWEAR",79.99,79.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Levelwear Black Boston Red Sox Recruit Short Sleeve Full-Zip Hoodie Jacket","Men","Clothing","Sweaters","6857158","LEVELWEAR",79.99,79.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Rutgers Scarlet Knights OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857167","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Villanova Wildcats OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857175","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Kansas State Wildcats OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857214","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Houston Cougars OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857482","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Colorado Buffaloes OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857514","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Penn State Nittany Lions OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6857641","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's G-III Sports by Carl Banks Black Baltimore Ravens Perfect Season Full-Zip Hoodie","Men","Clothing","Sweaters","6858085","G-III SPORTS BY CARL BANKS",69.99,69.99,0.0,0,"001","2022-03-13 08:11:45"
